commit	val_bpb	ablation	replication	transfer	causal_score	classification	timestamp
91c5406	1.423926	0.500	0.874	0.000	0.512	likely_causal	2026-04-09 11:26:13
ec60aec	1.434259	0.500	0.987	0.000	0.546	likely_causal	2026-04-09 13:26:47
